osquery> SELECT count(1) as num,filetype,path FROM process_memory_map where path != '' GROUP BY path ORDER BY num DESC;
+-----+----------+---------------------------------------------------------------------------------------------------------------------------------------------+
| num | filetype | path                                                                                                                                        |
+-----+----------+---------------------------------------------------------------------------------------------------------------------------------------------+
| 392 | file     | C:\WINDOWS\SYSTEM32\ntdll.dll                                                                                                               |
| 378 | file     | C:\WINDOWS\System32\msvcrt.dll                                                                                                              |
| 344 | file     | C:\WINDOWS\System32\advapi32.dll                                                                                                            |
| 324 | file     | C:\WINDOWS\System32\KERNELBASE.dll                                                                                                          |
| 318 | file     | C:\WINDOWS\System32\KERNEL32.DLL                                                                                                            |
| 300 | file     | C:\WINDOWS\System32\gdi32full.dll                                                                                                           |
| 300 | file     | C:\WINDOWS\System32\msvcp_win.dll                                                                                                           |
| 292 | file     | C:\WINDOWS\System32\sechost.dll                                                                                                             |
| 270 | file     | C:\WINDOWS\System32\RPCRT4.dll                                                                                                              |
| 270 | file     | C:\WINDOWS\System32\bcryptPrimitives.dll                                                                                                    |
| 270 | file     | C:\WINDOWS\System32\powrprof.dll                                                                                                            |
| 270 | file     | C:\WINDOWS\System32\ucrtbase.dll                                                                                                            |
| 250 | file     | C:\WINDOWS\System32\combase.dll                                                                                                             |
| 250 | file     | C:\WINDOWS\System32\win32u.dll                                                                                                              |
| 245 | file     | C:\WINDOWS\System32\GDI32.dll                                                                                                               |
| 240 | file     | C:\WINDOWS\System32\kernel.appcore.dll                                                                                                      |
| 234 | file     | C:\WINDOWS\System32\cfgmgr32.dll                                                                                                            |
| 230 | file     | C:\WINDOWS\System32\IMM32.DLL                                                                                                               |
| 227 | file     | C:\WINDOWS\System32\windows.storage.dll                                                                                                     |
| 225 | file     | C:\WINDOWS\System32\profapi.dll                                                                                                             |
| 220 | file     | C:\WINDOWS\System32\shcore.dll                                                                                                              |
| 200 | file     | C:\WINDOWS\System32\OLEAUT32.dll                                                                                                            |
| 190 | file     | C:\WINDOWS\System32\shlwapi.dll                                                                                                             |
| 180 | file     | C:\WINDOWS\System32\MSASN1.dll                                                                                                              |
| 180 | file     | C:\WINDOWS\system32\uxtheme.dll                                                                                                             |
